Model year,Make,Model,Trim,Fuel Type, Incentive for Purchase or 48 month Lease , Incentive for 12 month Lease , Incentive for 24 month Lease , Incentive for 36 month Lease ,Eligibility date
2022,Hyundai,IONIQ 5,Essential,BEV,"$5,000","$1,250","$2,500","$3,750",2021-11-16
2022,Hyundai,IONIQ 5,Preferred,BEV,"$5,000","$1,250","$2,500","$3,750",2021-11-16
2022,Hyundai,IONIQ 5,Preferred Long Range,BEV,"$5,000","$1,250","$2,500","$3,750",2021-11-16
2022,Hyundai,IONIQ 5,Preferred AWD Long Range,BEV,"$5,000","$1,250","$2,500","$3,750",2021-11-16
2022,Hyundai,Ioniq plug-In hybrid,Essential,PHEV,"$2,500",$625,"$1,250","$1,875",2021-09-16
2022,Hyundai,Ioniq plug-In hybrid,Preferred,PHEV,"$2,500",$625,"$1,250","$1,875",2021-09-16
2022,Hyundai,Ioniq plug-In hybrid,Ultimate,PHEV,"$2,500",$625,"$1,250","$1,875",2021-09-16
2022,Hyundai,Kona Electric,Preferred,BEV,"$5,000","$1,250","$2,500","$3,750",2021-07-13
2022,Hyundai,Kona Electric,Preferred - 2 tone,BEV,"$5,000","$1,250","$2,500","$3,750",2021-07-13
2022,Hyundai,Kona Electric,Ultimate,BEV,"$5,000","$1,250","$2,500","$3,750",2021-07-13
2022,Hyundai,Santa Fe PHEV,Preferred,PHEV,"$2,500",$625,"$1,250","$1,875",2021-07-12
2022,Hyundai,Santa Fe PHEV,Luxury,PHEV,"$2,500",$625,"$1,250","$1,875",2021-07-12
2022,Hyundai,Tucson PHEV,Luxury,PHEV,"$2,500",$625,"$1,250","$1,875",2021-07-20
2022,Hyundai,Tucson PHEV,Ultimate,PHEV,"$2,500",$625,"$1,250","$1,875",2021-07-20
2021,Hyundai,Ioniq electric,Preferred,BEV,"$5,000","$1,250","$2,500","$3,750",2021-01-27
2021,Hyundai,Ioniq electric,Ultimate,BEV,"$5,000","$1,250","$2,500","$3,750",2021-01-27
2021,Hyundai,Ioniq plug-In hybrid,Essential,PHEV,"$2,500",$625,"$1,250","$1,875",2021-01-27
2021,Hyundai,Ioniq plug-In hybrid,Preferred,PHEV,"$2,500",$625,"$1,250","$1,875",2021-01-27
2021,Hyundai,Ioniq plug-In hybrid,Ultimate,PHEV,"$2,500",$625,"$1,250","$1,875",2021-01-27
2021,Hyundai,Kona Electric,Essential,BEV,"$5,000","$1,250","$2,500","$3,750",2020-07-03
2021,Hyundai,Kona Electric,Preferred,BEV,"$5,000","$1,250","$2,500","$3,750",2020-07-03
2021,Hyundai,Kona Electric,Preferred - 2 tone,BEV,"$5,000","$1,250","$2,500","$3,750",2020-07-03
2021,Hyundai,Kona Electric,Ultimate,BEV,"$5,000","$1,250","$2,500","$3,750",2020-07-03
2020,Hyundai,Ioniq electric,Preferred,BEV,"$5,000","$1,250","$2,500","$3,750",2020-01-16
2020,Hyundai,Ioniq electric,Ultimate,BEV,"$5,000","$1,250","$2,500","$3,750",2020-01-16
2020,Hyundai,Ioniq plug-In hybrid,Preferred,PHEV,"$2,500",$625,"$1,250","$1,875",2020-01-08
2020,Hyundai,Ioniq plug-In hybrid,Ultimate,PHEV,"$2,500",$625,"$1,250","$1,875",2020-01-08
2020,Hyundai,Kona Electric,Essential,BEV,"$5,000","$1,250","$2,500","$3,750",2019-10-15
2020,Hyundai,Kona Electric,Preferred,BEV,"$5,000","$1,250","$2,500","$3,750",2019-10-15
2020,Hyundai,Kona Electric,Preferred - 2 tone,BEV,"$5,000","$1,250","$2,500","$3,750",2019-10-15
2020,Hyundai,Kona Electric,Ultimate,BEV,"$5,000","$1,250","$2,500","$3,750",2019-10-15
2019,Hyundai,Ioniq electric,Preferred,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2019,Hyundai,Ioniq electric,Ultimate,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2019,Hyundai,Ioniq electric Plus,Preferred,PHEV,"$2,500",$625,"$1,250","$1,875",2019-05-01
2019,Hyundai,Ioniq electric Plus,Ultimate,PHEV,"$2,500",$625,"$1,250","$1,875",2019-05-01
2019,Hyundai,Kona Electric,Preferred,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2019,Hyundai,Kona Electric,Ultimate,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2018,Hyundai,Sonata PHEV,Ultimate,PHEV,"$2,500",$625,"$1,250","$1,875",2019-05-01
2018,Hyundai,Ioniq electric Plus,SE,PHEV,"$2,500",$625,"$1,250","$1,875",2019-06-17
2018,Hyundai,Ioniq electric Plus,Limited,PHEV,"$2,500",$625,"$1,250","$1,875",2019-06-17
2017,Hyundai,Ioniq electric,SE,BEV,"$5,000","$1,250","$2,500","$3,750",2019-06-17
2017,Hyundai,Ioniq electric,SE CCP,BEV,"$5,000","$1,250","$2,500","$3,750",2019-06-17
2017,Hyundai,Ioniq electric,Limited,BEV,"$5,000","$1,250","$2,500","$3,750",2019-06-17
2017,Hyundai,Sonata PHEV,Ultimate,PHEV,"$2,500",$625,"$1,250","$1,875",2019-06-17
2023,Jeep,Wrangler 4xe,Unlimited Sahara,PHEV,"$2,500",$625,"$1,250","$1,875",2022-08-22
2023,Jeep,Wrangler 4xe,Unlimited Rubicon,PHEV,"$2,500",$625,"$1,250","$1,875",2022-08-22
2023,Jeep,Wrangler 4xe,Unlimited Sahara,PHEV,"$2,500",$625,"$1,250","$1,875",2022-08-22
2023,Jeep,Wrangler 4xe,Unlimited Rubicon,PHEV,"$2,500",$625,"$1,250","$1,875",2022-08-22
2022,Jeep,Wrangler 4xe,Unlimited Sahara,PHEV,"$2,500",$625,"$1,250","$1,875",2022-04-25
2022,Jeep,Wrangler 4xe,Unlimited Rubicon,PHEV,"$2,500",$625,"$1,250","$1,875",2022-04-25
2021,Jeep,Wrangler 4xe,Unlimited Sahara,PHEV,"$2,500",$625,"$1,250","$1,875",2022-04-25
2021,Jeep,Wrangler 4xe,Unlimited Sahara High Altitude,PHEV,"$2,500",$625,"$1,250","$1,875",2022-04-25
2021,Jeep,Wrangler 4xe,Unlimited Rubicon,PHEV,"$2,500",$625,"$1,250","$1,875",2022-04-25
2023,Kia,EV6,RWD Standard Range,BEV,"$5,000","$1,250","$2,500","$3,750",2022-10-13
2023,Kia,EV6,RWD Long Range,BEV,"$5,000","$1,250","$2,500","$3,750",2022-10-13
2023,Kia,EV6,AWD Long Range,BEV,"$5,000","$1,250","$2,500","$3,750",2022-10-13
2023,Kia,Niro EV,Premium,BEV,"$5,000","$1,250","$2,500","$3,750",2022-11-15
2023,Kia,Niro EV,Premium+,BEV,"$5,000","$1,250","$2,500","$3,750",2022-11-15
2023,Kia,Niro EV,Limited,BEV,"$5,000","$1,250","$2,500","$3,750",2022-11-15
2023,Kia,Niro PHEV,EX,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-11-15
2023,Kia,Sorento PHEV,EX,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-09-21
2023,Kia,Sorento PHEV,EX+,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-09-21
2023,Kia,Sorento PHEV,SX,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-09-21
2023,Kia,Soul EV,Premium,BEV,"$5,000","$1,250","$2,500","$3,750",2022-09-13
2023,Kia,Soul EV,Limited,BEV,"$5,000","$1,250","$2,500","$3,750",2022-09-13
2023,Kia,Sportage,EX Premium,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-09-06
2023,Kia,Sportage,SX,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-09-06
2022,Kia,Sorento PHEV,EX,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2022,Kia,Sorento PHEV,EX+,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2022,Kia,Sorento PHEV,SX,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2022,Kia,EV6,RWD Standard Range,BEV,"$5,000","$1,250","$2,500","$3,750",2022-02-01
2022,Kia,EV6,RWD Long Range,BEV,"$5,000","$1,250","$2,500","$3,750",2022-02-01
2022,Kia,EV6,AWD Long Range,BEV,"$5,000","$1,250","$2,500","$3,750",2022-02-01
2022,Kia,Niro EV,EX,BEV,"$5,000","$1,250","$2,500","$3,750",2021-08-17
2022,Kia,Niro EV,EX+,BEV,"$5,000","$1,250","$2,500","$3,750",2021-08-17
2022,Kia,Niro EV,SX Touring,BEV,"$5,000","$1,250","$2,500","$3,750",2021-08-17
2022,Kia,Niro PHEV,EX,PHEV,"$2,500",$625,"$1,250","$1,875",2021-08-16
2022,Kia,Niro PHEV,EX Premium,PHEV,"$2,500",$625,"$1,250","$1,875",2021-08-16
2022,Kia,Niro PHEV,SX Touring,PHEV,"$2,500",$625,"$1,250","$1,875",2021-08-16
2022,Kia,Sorento PHEV,EX,PHEV,"$2,500",$625,"$1,250","$1,875",2021-09-27
2022,Kia,Sorento PHEV,EX+,PHEV,"$2,500",$625,"$1,250","$1,875",2021-09-27
2022,Kia,Sorento PHEV,SX,PHEV,"$2,500",$625,"$1,250","$1,875",2021-09-27
2022,Kia,Soul EV,Premium,BEV,"$5,000","$1,250","$2,500","$3,750",2021-07-26
2022,Kia,Soul EV,Limited,BEV,"$5,000","$1,250","$2,500","$3,750",2021-07-26
2021,Kia,Niro EV,EX,BEV,"$5,000","$1,250","$2,500","$3,750",2021-03-12
2021,Kia,Niro EV,EX+,BEV,"$5,000","$1,250","$2,500","$3,750",2021-03-12
2021,Kia,Niro EV,SX Touring,BEV,"$5,000","$1,250","$2,500","$3,750",2021-03-12
2021,Kia,Niro PHEV,EX,PHEV,"$2,500",$625,"$1,250","$1,875",2021-03-12
2021,Kia,Niro PHEV,EX Premium,PHEV,"$2,500",$625,"$1,250","$1,875",2021-03-12
2021,Kia,Niro PHEV,SX Touring,PHEV,"$2,500",$625,"$1,250","$1,875",2021-03-12
2021,Kia,Soul EV,Premium,BEV,"$5,000","$1,250","$2,500","$3,750",2020-07-03
2021,Kia,Soul EV,Limited,BEV,"$5,000","$1,250","$2,500","$3,750",2020-07-03
2020,Kia,Niro EV,SX Touring,BEV,"$5,000","$1,250","$2,500","$3,750",2020-02-03
2020,Kia,Niro EV,EX,BEV,"$5,000","$1,250","$2,500","$3,750",2020-02-03
2020,Kia,Niro PHEV,EX Premium,PHEV,"$2,500",$625,"$1,250","$1,875",2020-01-15
2020,Kia,Niro PHEV,SX Touring,PHEV,"$2,500",$625,"$1,250","$1,875",2020-01-15
2019,Kia,Niro EV,SX Touring,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2019,Kia,Niro EV,EX,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2019,Kia,Niro PHEV,EX Premium,PHEV,"$2,500",$625,"$1,250","$1,875",2019-05-01
2019,Kia,Niro PHEV,SX,PHEV,"$2,500",$625,"$1,250","$1,875",2019-05-01
2017,Kia,Optima PHEV,EX,PHEV,"$2,500",$625,"$1,250","$1,875",2019-05-01
2017,Kia,Optima PHEV,EX Premium,PHEV,"$2,500",$625,"$1,250","$1,875",2019-05-01
2017,Kia,Soul EV,EV,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2017,Kia,Soul EV,EV Luxury,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2017,Kia,Soul EV,EV Luxury Sunroof,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2017,Kia,Soul EV,EV Premium,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2017,Kia,Soul EV,EV Limited,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2024,Lexus,NX 450h+,EV Limited,PHEV,"$5,000","$1,250","$2,500","$3,750",2023-03-27
2023,Lexus,NX 450h+,EV Limited,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-11-12
2022,Lexus,NX 450h+,EV Limited,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2023,Lincoln,Corsair,Grand Touring,PHEV,"$2,500",$625,"$1,250","$1,875",2022-12-13
2022,Lincoln,Corsair,Grand Touring,PHEV,"$2,500",$625,"$1,250","$1,875",2022-04-25
2021,Lincoln,Corsair,Grand Touring,PHEV,"$2,500",$625,"$1,250","$1,875",2022-04-25
